TVR.delta,Year,Season,NBA,BAA,ABA,WNBA,Era,Decade,LastDecade
-0.071805257,1949,1,1,0,0,0,1,1,0
-0.016372596,1950,2,1,0,0,0,1,1,0
-0.033690592,1951,3,1,0,0,0,1,1,0
-0.083197157,1952,4,1,0,0,0,1,1,0
-0.053293698,1953,5,1,0,0,0,1,1,0
-0.026231729,1954,6,1,0,0,0,1,1,0
0.021821767,1955,7,1,0,0,0,1,1,0
0.00261452,1956,8,1,0,0,0,1,1,0
-0.011131499,1957,9,1,0,0,0,1,1,0
-0.044387541,1958,10,1,0,0,0,1,1,0
-0.079076603,1959,11,1,0,0,0,1,2,NA
-0.040375562,1960,12,1,0,0,0,1,2,NA
-0.045882096,1961,13,1,0,0,0,1,2,NA
-0.053497867,1962,14,1,0,0,0,1,2,NA
-0.066621308,1963,15,1,0,0,0,1,2,NA
-0.051691193,1964,16,1,0,0,0,1,2,NA
-0.038538914,1965,17,1,0,0,0,1,2,NA
-0.07962565,1966,18,1,0,0,0,1,2,NA
-0.06167615,1967,19,1,0,0,0,1,2,NA
-0.072586941,1968,20,1,0,0,0,1,2,NA
-0.038171187,1969,21,1,0,0,0,1,3,NA
-0.0660324,1970,22,1,0,0,0,1,3,NA
-0.092223054,1971,23,1,0,0,0,1,3,NA
-0.109953552,1972,24,1,0,0,0,2,3,NA
-0.032254382,1973,25,1,0,0,0,2,3,NA
-0.029998086,1974,26,1,0,0,0,2,3,NA
-0.018105362,1975,27,1,0,0,0,2,3,NA
-0.01920908,1976,28,1,0,0,0,2,3,NA
-0.019885439,1977,29,1,0,0,0,2,3,NA
-0.024383372,1978,30,1,0,0,0,2,3,NA
-0.045320025,1979,31,1,0,0,0,2,4,NA
-0.071803938,1980,32,1,0,0,0,2,4,NA
-0.037914368,1981,33,1,0,0,0,2,4,NA
-0.037965213,1982,34,1,0,0,0,2,4,NA
-0.032115392,1983,35,1,0,0,0,2,4,NA
-0.052325635,1984,36,1,0,0,0,2,4,NA
-0.048902112,1985,37,1,0,0,0,2,4,NA
-0.075703643,1986,38,1,0,0,0,2,4,NA
-0.073894273,1987,39,1,0,0,0,2,4,NA
-0.073759787,1988,40,1,0,0,0,2,4,NA
-0.08575364,1989,41,1,0,0,0,2,5,NA
-0.052017264,1990,42,1,0,0,0,2,5,NA
-0.070107215,1991,43,1,0,0,0,2,5,NA
-0.060562555,1992,44,1,0,0,0,2,5,NA
-0.063759288,1993,45,1,0,0,0,2,5,NA
-0.071351729,1994,46,1,0,0,0,3,5,NA
-0.068794341,1995,47,1,0,0,0,3,5,NA
-0.112430682,1996,48,1,0,0,0,3,5,NA
-0.111947177,1997,49,1,0,0,0,3,5,NA
-0.044722286,1999,51,1,0,0,0,3,6,NA
-0.067764363,2000,52,1,0,0,0,3,6,NA
-0.063903469,2001,53,1,0,0,0,3,6,NA
-0.036713819,2002,54,1,0,0,0,3,6,NA
-0.032438216,2003,55,1,0,0,0,3,6,NA
-0.071522779,2004,56,1,0,0,0,3,6,NA
-0.043552825,2005,57,1,0,0,0,3,6,NA
-0.028886517,2006,58,1,0,0,0,3,6,NA
-0.059188689,2007,59,1,0,0,0,3,6,1
-0.06551294,2008,60,1,0,0,0,3,6,1
-0.054523052,2009,61,1,0,0,0,3,7,1
-0.078859413,2010,62,1,0,0,0,3,7,1
-0.059437319,2012,64,1,0,0,0,3,7,1
-0.064088228,2013,65,1,0,0,0,3,7,1
-0.060470144,2014,66,1,0,0,0,3,7,1
-0.061897806,2015,67,1,0,0,0,3,7,1
-0.030782201,2016,68,1,0,0,0,3,7,1
-0.05087426,2017,69,1,0,0,0,3,7,1
-0.040590441,1967,1,0,0,1,0,NA,1,NA
-0.063876369,1968,2,0,0,1,0,NA,1,NA
-0.035192238,1969,3,0,0,1,0,NA,1,NA
-0.032404592,1970,4,0,0,1,0,NA,1,NA
-0.054316249,1971,5,0,0,1,0,NA,1,NA
-0.056446458,1972,6,0,0,1,0,NA,1,NA
-0.023534228,1973,7,0,0,1,0,NA,1,NA
-0.096185325,1974,8,0,0,1,0,NA,1,NA
-0.057908358,1946,1,0,1,0,0,NA,1,NA
-0.074753295,1947,2,0,1,0,0,NA,1,NA
-0.057845862,1948,3,0,1,0,0,NA,1,NA
-0.120003421,1997,1,0,0,0,1,NA,1,NA
-0.041473013,1998,2,0,0,0,1,NA,1,NA
-0.104415616,1999,3,0,0,0,1,NA,1,NA
-0.039679408,2000,4,0,0,0,1,NA,1,NA
-0.042261732,2001,5,0,0,0,1,NA,1,NA
-0.026085814,2002,6,0,0,0,1,NA,1,NA
-0.014071867,2003,7,0,0,0,1,NA,1,NA
-0.047809793,2004,8,0,0,0,1,NA,1,NA
-0.087426073,2005,9,0,0,0,1,NA,1,NA
-0.021799022,2006,10,0,0,0,1,NA,1,NA
-0.054681176,2007,11,0,0,0,1,NA,2,NA
0.023246476,2008,12,0,0,0,1,NA,2,NA
-0.063820087,2009,13,0,0,0,1,NA,2,NA
-0.079431594,2010,14,0,0,0,1,NA,2,NA
-0.094634408,2011,15,0,0,0,1,NA,2,NA
-0.056819811,2012,16,0,0,0,1,NA,2,NA
-0.036123889,2013,17,0,0,0,1,NA,2,NA
-0.049765015,2014,18,0,0,0,1,NA,2,NA
-0.057004437,2015,19,0,0,0,1,NA,2,NA
-0.094198419,2016,20,0,0,0,1,NA,2,NA
-0.069411145,2017,21,0,0,0,1,NA,3,NA
-0.079110229,2018,22,0,0,0,1,NA,3,NA
