sd,Year,Season,NBA,ABA,BAA,WNBA
0.180413251,1949,1,1,0,0,0
0.118395101,1950,2,1,0,0,0
0.124923132,1951,3,1,0,0,0
0.1927752,1952,4,1,0,0,0
0.127380118,1953,5,1,0,0,0
0.087204194,1954,6,1,0,0,0
0.061255904,1955,7,1,0,0,0
0.054002645,1956,8,1,0,0,0
0.120652319,1957,9,1,0,0,0
0.15037762,1958,10,1,0,0,0
0.187861984,1959,11,1,0,0,0
0.144420455,1960,12,1,0,0,0
0.166597569,1961,13,1,0,0,0
0.160905856,1962,14,1,0,0,0
0.166574141,1963,15,1,0,0,0
0.162476152,1964,16,1,0,0,0
0.135612295,1965,17,1,0,0,0
0.173871472,1966,18,1,0,0,0
0.170042775,1967,19,1,0,0,0
0.152053869,1968,20,1,0,0,0
0.120384937,1969,21,1,0,0,0
0.145779144,1970,22,1,0,0,0
0.186915914,1971,23,1,0,0,0
0.198021928,1972,24,1,0,0,0
0.133274374,1973,25,1,0,0,0
0.11769502,1974,26,1,0,0,0
0.105227485,1975,27,1,0,0,0
0.098330974,1976,28,1,0,0,0
0.111355064,1977,29,1,0,0,0
0.103462397,1978,30,1,0,0,0
0.15213318,1979,31,1,0,0,0
0.160614704,1980,32,1,0,0,0
0.152740266,1981,33,1,0,0,0
0.161288696,1982,34,1,0,0,0
0.114584022,1983,35,1,0,0,0
0.1462403,1984,36,1,0,0,0
0.143670228,1985,37,1,0,0,0
0.154436487,1986,38,1,0,0,0
0.157496458,1987,39,1,0,0,0
0.16222168,1988,40,1,0,0,0
0.173985959,1989,41,1,0,0,0
0.158107189,1990,42,1,0,0,0
0.159478834,1991,43,1,0,0,0
0.158417288,1992,44,1,0,0,0
0.17725199,1993,45,1,0,0,0
0.161307876,1994,46,1,0,0,0
0.171273066,1995,47,1,0,0,0
0.190922559,1996,48,1,0,0,0
0.18944703,1997,49,1,0,0,0
0.159641655,1998,50,1,0,0,0
0.160986674,1999,51,1,0,0,0
0.157159037,2000,52,1,0,0,0
0.138006729,2001,53,1,0,0,0
0.144202239,2002,54,1,0,0,0
0.136086352,2003,55,1,0,0,0
0.15477355,2004,56,1,0,0,0
0.136324916,2005,57,1,0,0,0
0.132280914,2006,58,1,0,0,0
0.168753949,2007,59,1,0,0,0
0.17212813,2008,60,1,0,0,0
0.162958104,2009,61,1,0,0,0
0.160662422,2010,62,1,0,0,0
0.156132205,2011,63,1,0,0,0
0.155038445,2012,64,1,0,0,0
0.157560603,2013,65,1,0,0,0
0.164142386,2014,66,1,0,0,0
0.169324897,2015,67,1,0,0,0
0.136448167,2016,68,1,0,0,0
0.1490804,2017,69,1,0,0,0
0.146706952,2018,70,1,0,0,0
0.135279307,1967,1,0,1,0,0
0.149095942,1968,2,0,1,0,0
0.114874714,1969,3,0,1,0,0
0.120547463,1970,4,0,1,0,0
0.156596993,1971,5,0,1,0,0
0.154051543,1972,6,0,1,0,0
0.132255645,1973,7,0,1,0,0
0.191116282,1974,8,0,1,0,0
0.189433219,1975,9,0,1,0,0
0.164676211,1946,1,0,0,1,0
0.162449992,1947,2,0,0,1,0
0.167739223,1948,3,0,0,1,0
0.132276766,1997,1,0,0,0,1
0.237731151,1998,2,0,0,0,1
0.143574577,1999,3,0,0,0,1
0.196593616,2000,4,0,0,0,1
0.173340597,2001,5,0,0,0,1
0.14468028,2002,6,0,0,0,1
0.141690597,2003,7,0,0,0,1
0.107936591,2004,8,0,0,0,1
0.171541764,2005,9,0,0,0,1
0.181988784,2006,10,0,0,0,1
0.131537067,2007,11,0,0,0,1
0.157698575,2008,12,0,0,0,1
0.09666649,2009,13,0,0,0,1
0.169864117,2010,14,0,0,0,1
0.197645229,2011,15,0,0,0,1
0.213508977,2012,16,0,0,0,1
0.161080349,2013,17,0,0,0,1
0.150991546,2014,18,0,0,0,1
0.138513428,2015,19,0,0,0,1
0.173395939,2016,20,0,0,0,1
0.182623806,2017,21,0,0,0,1
0.18224881,2018,22,0,0,0,1
0.170203532,2019,23,0,0,0,1
